,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Sony,PlayStation 2,2003,"5,200,000[25]",March 2010,4
1,Sony,PlayStation Portable,"September 1, 2005","5,200,000[25]",March 2010,4
2,Nintendo,DS,2005,"850,000[25]",March 2010,4
3,Sony,PlayStation 3,?,"450,000[25]",March 2010,4
4,Nintendo,Wii,?,"315,000[25]",March 2010,4
5,Microsoft,Xbox 360,?,"180,000[25]",March 2010,4
