,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Nintendo,Switch,2019,"4,000,000[23]",January 2021,4
1,Sony,PlayStation 4,2015,"3,520,000[24]",December 2020,4
2,Microsoft,Xbox One,2014,"1,240,000[24]",December 2020,4
