,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Tectoy (Sega),Master System,"September 4, 1989",">8,000,000[53]",2015,4
1,Tectoy (Sega),Mega Drive,1990,">3,000,000[54]",2012,4
