,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Nintendo,Nintendo DS,"November 21, 2004","59,930,000[7]",September 2013,4
1,Nintendo,Wii,"November 19, 2006","48,640,000[7]",March 2015,4
2,Nintendo,Game Boy and Game Boy Color,"July 31, 1989","44,060,000[7]",March 2002,4
3,Nintendo,Game Boy Advance,"June 11, 2001","41,640,000[7]",March 2008,4
4,Nintendo,NES,"October 18, 1985","34,000,000[7]",March 1997,4
5,Nintendo,SNES,"August 23, 1991","23,350,000[7]",March 2001,4
6,Nintendo,Nintendo 64,"September 29, 1996","20,630,000[7]",March 2003,4
7,Nintendo,GameCube,"November 18, 2001","12,940,000[7]",March 2008,4
