,0,1,2,Generation
0,Home,Handheld,Dedicated,2
1,APF-MP1000 Arcadia 2001 Atari 2600 Atari 5200 Bally Astrocade ColecoVision Epoch Cassette Vision Fairchild Channel F Gakken Compact Vision TV Boy Interton VC 4000/1292 Advanced Programmable Video System Intellivision Odyssey 2 RCA Studio II Vectrex Super Vision 8000 VTech CreatiVision,Milton Bradley Microvision Children's Discovery System Entex Select-A-Game Entex Adventure Vision 3D Gamate Variety Palmtex Portable Videogame System / Super Micro Digi Casse Romtec Colorvision Epoch Game Pocket Computer,Nintendo Computer Mah-jong Yakuman Nintendo Game & Watch,2
