,0,1,2,Generation
0,Home,Handheld,Micro,7
1,EVO Smart Console PlayStation 3 V.Flash Wii Xbox 360 Zeebo,GP2X Wiz Caanoo Dingoo Gizmondo Mi2 Nintendo DS DS Lite DSi Pandora PlayStation Portable,OnLive,7
