,0,1,Generation
0,Home,Handheld,5
1,3DO Amiga CD32 Atari Jaguar Casio Loopy FM Towns Marty Nintendo 64 NEC PC-FX Pippin Playdia PlayStation Sega Saturn,Design Master Senshi Game Boy Color Game.com Neo Geo Pocket PocketStation R-Zone Genesis Nomad Virtual Boy,5
