,0,1,2,3,Generation
0,Home,Handheld,Micro,Hybrid,8
1,PlayStation 4 Wii U Xbox One,Nintendo 3DS 2DS New 3DS New 2DS XL Nvidia Shield Portable PlayStation Vita Xperia Play,Amazon Fire TV Apple TV GameStick MOJO Nexus Player OnLive Game System Ouya Nvidia Shield TV PlayStation TV Razer Forge TV,Nintendo Switch,8
