,0,Generation
0,Home,3
1,Action Max Amstrad GX4000 Atari 7800 Atari XE Games System Casio PV-1000 Commodore 64 Games System Nintendo Entertainment System NES-101 RDI Halcyon Master System SG-1000 Super Cassette Vision VTech Socrates,3
