,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Sony,PlayStation 5 #,"November 12, 2020","1,500,000[35]",2020,4
1,Nintendo,Nintendo 64,"September 29, 1996","1,300,000[36]",1999,4
2,Nintendo,Wii,"November 19, 2006","1,060,000[37]",2008,4
3,Microsoft,Xbox 360,"November 22, 2005","870,000[37]",2008,4
4,Sony,PlayStation 3,"November 17, 2006","520,000[37]",2008,4
