,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Generation
Name,Manufacturer,Console,Release dates,Launch price,Launch price,Launch price,Launch price,Discontinued,Media,Media,Media,Best-selling game,CPU,Memory,Display,Display,Audio,Resolutions,Battery life,Units sold,5
Name.1,Manufacturer,Console,Release dates,US$,GBP,A$,JP¥,Discontinued,Type,Regional lockout,Backward compatibility,Best-selling game,CPU,Memory,Type,Color,Audio,Resolutions,Battery life,Units sold,5
Genesis Nomad,Sega,,NA: October 1995,US$180 (equivalent to $380 in 2025),,,,NA: 1999,ROM cartridge,Region locked,Sega Genesis,"Sonic the Hedgehog, 15 million[note 2]",Motorola 68000 @ 7.6 MHz,64 KB RAM64 KB video RAM8 KB audio RAM20 KB ROM,3.25-inch backlit liquid-crystal display (LCD),"64 to 75 on screen, 512 color palette",Yamaha YM2612 sound chip,384 × 224,4 hours,1 million,5
Game Boy Color,Nintendo,,"JP: October 21, 1998NA: November 18, 1998EU: November 23, 1998AU: November 27, 1998",US$79.95 (equivalent to $160 in 2025),,,,"WW: March 23, 2003",Game Boy Game Pak Game Boy Color Game Pak,Unrestricted,Game Boy,"Pokémon Gold and Silver, 23 million",Sharp SM83 @ 4.2 / 8.4 MHz,32 KB RAM16 KB video RAM2 KB ROM127 B High RAM,2.3-inch (diagonal) TFT LCD,"32,768, up to 56 simultaneously",Nintendo Audio Processing Unit generating: Two square wave channels One waveform channel One noise channel,160 × 144,Up to 10 hours,118.69 million (including Game Boy),5
Neo Geo Pocket,SNK,,"JP: October 28, 1998",,£59.99 (equivalent to £130 in 2023),,"¥7,800 (equivalent to ¥8,600 in 2024)",JP: 1999,ROM cartridge,Unrestricted,—N/a,Unknown,Toshiba TLCS900H @ 6 MHz,12 KB RAM4 KB audio RAM64 KB ROM,2.6-inch (diagonal) LCD,Monochromatic,Zilog Z80 @ 3 MHz controlling SN76489 sound chip generating: Three square wave channels One noise channel Dual 8-bit DACs,160 × 152,40 hours,,5
Neo Geo Pocket Color,SNK,,"JP: March 16, 1999NA: August 6, 1999EU: October 1, 1999",US$69.95 (equivalent to $140 in 2025),,,,"NA: June 13, 2000EU: June 13, 2000JP: October 22, 2001",ROM cartridge,Unrestricted,Neo Geo Pocket,Unknown,Toshiba TLCS900H @ 6 MHz,12 KB RAM4 KB audio RAM64 KB ROM,2.6-inch TFT LCD,"4,096, up to 146 simultaneously",Zilog Z80 @ 3 MHz controlling SN76489 sound chip generating: Three square wave channels One noise channel Dual 8-bit DACs,160 × 152,40 hours,2 million,5
