,0,1,2,3,4,5,6,7,8,Generation
Name,Manufacturer,Image,Release date,Launch price,Launch price,Launch price,Media,Accessories (retail),Sales,1
Name.1,Manufacturer,Image,Release date,US$,GBP,JP¥,Media,Accessories (retail),Sales,1
Home Pong series (9 models),"Atari, Sears Tele-Games",,NA: Late 1975JP: Late 1975[64],US$98.95 (equivalent to $590 in 2025)[69],,"JP¥24,800 (equivalent to ¥50,700 in 2024)[64]",Inbuilt chip,,"150,000[70]: 33–36 [71]",1
Coleco Telstar series (14 models)[b],Coleco,,NA: 1976–1978,US$50 (equivalent to $280 in 2025),,,"Inbuilt chip (most models) Cartridge (Telstar Arcade, 1977)[18]: 15",Controller styles,1 million[45],1
Color TV-Game series (5 consoles)[c],Nintendo,,JP: 1977–1983[67][68],US$36–179 (equivalent to $210–700 in 2025),,"JP¥9800–48,000 (equivalent to ¥16,940–71,130 in 2024)[48]",Inbuilt chip,,3 million[72],1
