,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Generation
Name,Manufacturer,Image(s),Release date,Launch price,Launch price,Launch price,Media,Media,Media,Top-selling games,Accessories (retail),CPU,Memory,Video,Video,Video,Video,Video,Audio,2
Name.1,Manufacturer,Image(s),Release date,US$,GBP,JP¥,Type,Regional lockout,Backward compatibility,Top-selling games,Accessories (retail),CPU,Memory,Resolution,Palette,Colors on Screen,Sprites,Other,Audio,2
Emerson Arcadia 2001,Emerson Radio Corporation,,USA: May 1982JP: 1983,US$200 (equivalent to $670 in 2025)[69][70],—N/a,"JP¥19,800 (equivalent to ¥26,700 in 2024)[70]",Cartridge[69],Unrestricted[62],—N/a,,,3.58 MHz Signetics 2650 CPU,512 bytes RAM,128x208 / 128×104,16 colors,,,,"Mono audio with: Single Channel ""Beeper"" Single Channel ""Noise""",2
ColecoVision,Coleco,,USA: August 1982EU: 1982,US$175[58] (equivalent to $580 in 2025),—N/a,—N/a,"Cartridge and Cassette, available with Expansion #3",Unrestricted[62],Compatible with Atari 2600 Via Expansion #1,Donkey Kong (pack-in),Expansion #1 Expansion #2 Expansion #3 Roller Controller Super Action Controller Set,3.58 MHz Zilog Z80A,Main RAM 1 kB Video RAM 16 kB,256×192,"15 colors, 1 transparent",16 simultaneous (1 color per sprite),"32 sprites (4 per scanline), 8×8 or 8×16 pixels, integer zoom","Tilemap playfield, 8×8 tiles",Mono audio with: 3 tone generators 1 noise generator,2
Atari 5200,Atari,,USA: November 1982,US$270[58] (equivalent to $900 in 2025),—N/a,—N/a,Cartridge,Unrestricted[62],Atari 2600 games through the 2600 cartridge adapter,,Trak-Ball Controller Atari 2600 adaptor,1.79 MHz Custom MOS 6502C,Main RAM 16 kB DRAM,80×192 (16 color) 160×192 (4 color) 320×192 (2 color)[73],256 colors,"16 simultaneous,[73] Up to 256 (16 hues, 16 luma) on screen (16 per scanline) with display list interrupts","8 single-color sprites, full height of display; 1/2/4x width scaling","14 graphics modes (6 tilemap, 8 bitmap)[73] Fine and coarse scrolling (vertical and horizontal)[74]",Mono audio with: 4-channel sound,2
Vectrex,General Consumer Electric and Milton Bradley,,USA: November 1982EU: May 1983JP: June 1983,US$199[71] (equivalent to $660 in 2025),£149[72] (equivalent to £640 in 2023),—N/a,Cartridge,Unrestricted[62],—N/a,,3-D Imager Light Pen,1.5 MHz Motorola 68A09,Main RAM 1 kB,,2 (black and white),2 simultaneous (black and white),,Built in vector CRT,Mono audio (built-in speaker) 3 channel sound noise generator,2
