,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Sega,Mega Drive,September 1990,"8,320,000+[b]",June 1996,4
1,Nintendo,NES,September 1986,"8,025,000[c]",1994,4
2,Sega,Master System,June 1987,"6,800,000[d]",1994,4
3,Nintendo,SNES,June 1992,"5,280,000+[e]",1998,4
4,Sega,Mega CD,"April 2, 1993","415,000[17]",1994,4
