,Manufacturer,Console,Released,Units sold,Date of figure,Generation
0,Sony,PlayStation 2,"March 4, 2000","25,420,000[1]",March 2007,4
1,Sony,PlayStation,"December 3, 1994","21,590,000[2]",March 2007,4
2,Sega,Dreamcast,"November 27, 1998","2,690,000[3]",March 2001,4
3,Nintendo,Nintendo Switch #,"March 3, 2017","2,259,000 (excluding Japan)[4]",2018,4
4,Microsoft,Xbox,"February 22, 2002","1,800,000[5]",June 2005,4
5,Nintendo,Nintendo 3DS #,"February 26, 2011","1,047,760 (excluding Japan)[4]",2018,4
