,0,1,Generation
0,Home,Handheld,4
1,Capcom Power System Changer CD-i Commodore CDTV Neo Geo CD LaserActive Sega Genesis Super A'Can Super Nintendo Entertainment System SNS-101 TurboGrafx-16,Game Boy Atari Lynx Game Gear TurboExpress Gamate Watara Supervision Mega Duck/Cougar Boy Game Master,4
