,0,1,Generation
0,Home,Dedicated,1
1,Magnavox Odyssey,APF TV Fun series Coleco Telstar series Arcade Marksman Color TV-Game Gameroom Tele-Pong Odyssey PC-50x Pong TV Scoreboard TV Tennis Electrotennis Unisonic series Video Pinball,1
