,0,1,Generation
0,Home,Handheld,6
1,DISCover Dreamcast GameCube Nuon PlayStation 2 PSX V.Smile Xavix Xbox,WonderSwan Game Boy Advance Advance SP Micro GP32 N-Gage QD Tapwave Zodiac VMU,6
