,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Generation
Name,Manufacturer,Developer,Image(s),Image(s),Release date,Launch price,Launch price,Launch price,Launch price,Media,Media,Best-selling game,CPU,GPU,Sound chip(s),Memory,Video,Audio,Accessories (retail),Online services,5
Name.1,Manufacturer,Developer,Image(s),Image(s),Release date,US$,GBP,A$,JP¥,Type,Regional lockout,Best-selling game,CPU,GPU,Sound chip(s),Memory,Video,Audio,Accessories (retail),Online services,5
3DO Interactive Multiplayer,"Panasonic, Sanyo, GoldStar, Creative",The 3DO Company,,Top: Panasonic FZ-1 R·E·A·L Bottom: GoldStar GDO-101M,"NA: October 4, 1993JP: March 20, 1994EU: June 11, 1994","US$699.99 (equivalent to $1,560 in 2025)",,,,CD-ROM,Unrestricted,"Gex, 1+ million[42][43]",ARM60 (32‑bit RISC) @ 12.5 MHz (8.75 MIPS[49]),2× accelerated video co-processors Math co-processor (inside CPU),13 channel unnamed custom 20‑bit DSP embedded in the CLIO chip[60],3 MB RAM 2 MB DRAM 1 MB VRAM,"Resolution: 320×240 to 384×288 (progressive), 320×480 to 768×576 (interlaced) Colors: 110,592 (384×288) on screen, out of 16,777,216 (24‑bit) palette Polygons: 20,000/sec,[62] flat shading, Gouraud shading Sprites/textures: Scaling, rotation, texture mapping Background: 1 bitmap plane","Stereo audio, with: 16‑bit sound Optional Dolby Surround support Streaming CD-DA audio (16‑bit PCM, 44.1 kHz sampling rate)",MPEG cards FZ-EM256 save memory backup unit Gamegun Mouse,,5
Sega Saturn,Sega,Sega,,Top: North American Saturn Model 1 and controller Bottom: Japanese Saturn Model 1 and updated controller,"JP: November 22, 1994NA: May 11, 1995EU/AU: July 8, 1995",US$399.99 (equivalent to $850 in 2025),£399.99[39] (equivalent to £970 in 2023),,"¥44,800 (equivalent to ¥50,640 in 2024)","CD-ROMCartridge (limited, Japan and Europe only)",Region locked,"Virtua Fighter 2, 1.7 million[44]",2× Hitachi SH-2 7604 (32‑bit RISC) @ 28.63 MHz) Hitachi SH-1 (32‑bit RISC) @ 20 MHz (12.5 MIPS)[50] Motorola 68EC000 (16/32‑bit CISC) @ 11.3 MHz[51] (1.9775 MIPS[52]) SCU (32‑bit Saturn Control Unit)[53],"Sega VDP1 (32‑bit video display processor) @ 28.63 MHz (sprites, textures, polygons)[57] Sega VDP2 (32‑bit video display processor) @ 28.63 MHz (backgrounds, scrolling)[58] SCU DSP (inside SCU (32‑bit Saturn Control Unit))[53]","Yamaha YMF292 SCSP[61] Yamaha FH1 DSP (inside Yamaha YMF292 SCSP[61] 24‑bit, 128-step,[53] 4 parallel instructions)","4.5 MB RAM 2 MB SDRAM 1.5 MB VRAM (512 KB sprite/texture cache, 512 KB frame buffers, 512 KB backgrounds) 1 MB DRAM (512 KB sound, 512 KB CD-ROM sub-system buffer data cache)","Resolution: 320×224 to 720×240 (progressive), 320×448 to 720×576 (interlaced)[63] Colors: 172,800 (720×240) on screen, out of 16,777,216 (24‑bit) palette Polygons: 140,000/sec (textured, lighting, Gouraud shading)[64] to 500,000/sec (flat shading)[65] Sprites/textures: 16,384/frame (32 bytes each, 512 KB memory), scaling, rotation, distortion, texture mapping[57] Backgrounds: 7[63] (3–6 tilemap planes, 1–4 bitmap planes), parallax scrolling, scaling, rotation[58]","Stereo audio, with:[61] 32 sound channels on SCSP FM synthesis on all 32 SCSP channels 16‑bit PCM audio with 44.1 kHz sampling rate on all 32 SCSP channels 1 streaming CD-DA channel (16‑bit PCM, 44.1 kHz)","Arcade Stick Saturn digital gamepad 3D controller Light guns Multitap (up to 12 players) Keyboard Sega NetLink (online modem and keyboard) Mouse 1.44 MB 3.5"" floppy disk drive DirectLink (LAN) Memory card MPEG cards RAM expansion cartridges",NA: NetLink 28.8k modemJP: SegaNet 14.4k modem,5
PlayStation,Sony,SCE,,Top: Original PlayStation with DualShock controller Bottom: Revised PSOne with DualShock controller,"JP: December 3, 1994NA: September 9, 1995EU: September 29, 1995AU: November 15, 1995",US$299.99 (equivalent to $630 in 2025)[38],£299[40](equivalent to £730 in 2023),,"¥39,800 (equivalent to ¥44,990 in 2024)",CD-ROM,Region locked,"Gran Turismo, 10.85 million[45][46]",LSI LR333x0 (labelled as the Sony CXD8530CQ on the package) (based on the MIPS R3051 core) @ 33.8688 MHz (30 MIPS[54]) System control coprocessor (inside CPU),Sony GPU[59] Vector math unit (in main CPU) @ 66 MIPS,Sony SPU (sound processing unit),"3587 KB RAM 2 MB DRAM 1026 KB VRAM (1 MB frame buffer, 2 KB texture cache, 64 bytes FIFO buffer) 512 KB sound RAM 1 KB non-associative SRAM data cache","Resolution: 256×224 to 640×240 (progressive), 256×448 to 640×480 (interlaced) Colors: 153,600 (640×240) on screen, out of 16,777,216 (24‑bit) palette Polygons: 90,000/sec (textured, lighting, Gouraud shading)[66] to 360,000/sec[67] (flat shading) Sprites/textures: 4,000/frame[68] (bitmap objects[59]), scaling, rotation, texture mapping Background: 1 bitmap plane","Stereo audio, with: 24 ADPCM channels on SPU 16‑bit audio and 44.1 kHz sampling rate on all 24 ADPCM channels 1 streaming CD-DA channel (16‑bit PCM, 44.1 kHz) Optional Dolby Surround support",PlayStation Multitap (up to 8 players) Fishing reel controllers (Bass Landing and Reel Fishing) Dual Analog Controller DualShock GunCon Jogcon Konami Justifier NeGcon PocketStation (Japan only) PlayStation Mouse Analog Joystick Dance pad LCD screen (for PSone systems only) Memory card Link Cable,US: Lightspan Online Connection CDJP: i-mode Mobile Phone Connection Cable,5
Nintendo 64,Nintendo,Nintendo,,Top: Nintendo 64 with controller and game cartridge Bottom: Nintendo 64 with 64DD peripheral attached,"JP: June 23, 1996NA: September 29, 1996EU: March 1, 1997AU: March 1, 1997",US$199.99 (equivalent to $410 in 2025),£249.99[41](equivalent to £570 in 2023,,,Game Pak cartridgeProprietary magnetic disk (via 64DD),Region locked,"Super Mario 64, 11.62 million[47][48]",NEC VR4300 (64‑bit RISC) @ 93.75 MHz (125 MIPS)[55][56] 32-bit data coprocessor (64DD),"Reality Co-Processor (64‑bit MIPS R4000 based, 128‑bit vector register processor) @ 62.5 MHz",Reality Signal Processor (DSP),4 MB RDRAM (8 MB with Expansion Pak),"Resolution: 320×240 to 720×288 (progressive), 320×480 to 720×576 (interlaced) Colors: 207,360 (720×288) on screen, out of 16,777,216 (24‑bit) palette Polygons: 150,000/sec[citation needed] (textured, lighting, Gouraud shading) to 600,000/sec[citation needed] (flat shading), anti‑aliasing, Z-buffering Sprites/textures: Scaling, rotation, texture mapping, mipmapping, texture filtering, bilinear filtering, trilinear filtering[69] Background: 1 bitmap plane","Stereo audio, with: Variable number of channels (up to 100 if all system resources are devoted to audio) Capable of playing back different types of audio (including PCM, MP3, MIDI and tracker music) 16‑bit audio and 44.1 kHz sampling rate on all channels Optional Dolby Surround support",Controller Pak Memory Expansion Pak Rumble Pak Transfer Pak Nintendo 64DD (Japan only) Nintendo 64 Mouse (Japan only) Voice Recognition Unit,US: SharkWire Online 14.4k modem (unofficial)JP: Randnet (64DD only),5
