,Console,Units sold,Generation
0,PlayStation 2,"160 million (as of November 26, 2024)[10]",6
1,Xbox,"24 million (as of May 10, 2006)[11][12]",6
2,GameCube,"21.74 million (as of September 30, 2010)[13]",6
3,V.Smile,11 million[citation needed],6
4,Dreamcast,"9.13 million (as of September 6, 2002)[14]",6
